num_epoch,train_loss,p_train,f_train
1,1.195615,0.690871,0.690871
2,0.789837,0.799036,0.799036
3,0.624070,0.841519,0.841519
4,0.551731,0.852365,0.852365
5,0.480166,0.909009,0.909009
6,0.357790,0.926484,0.926484
7,0.288626,0.944260,0.944260
8,0.235376,0.955408,0.955408
9,0.194722,0.946972,0.946972
10,0.166401,0.961735,0.961735
