num_epoch,train_loss,p_train,f_train
1,1.227035,0.672443,0.672443
2,0.840105,0.741420,0.741420
3,0.682590,0.805731,0.805731
4,0.568576,0.867378,0.867378
5,0.471147,0.904032,0.904032
6,0.394135,0.911030,0.911030
7,0.305973,0.923359,0.923359
8,0.269485,0.972009,0.972009
9,0.230555,0.949017,0.949017
