0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 04:28:19', 7.07, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 04:29:42', 1.51, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 04:30:37', 4.13, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 04:33:17', 5.21, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 04:57:58', 5.54, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 05:01:20', 20.0, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 0, '2018-05-07 05:04:26', 0, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 05:04:32', 0.44, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 05:16:26', 0.19, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 05:30:43', 4.18, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 05:31:07', 7.32, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 05:31:55', 6.63, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 05:32:32', 0.51, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 05:33:07', 0.31, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 05:33:40', 0.37, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 05:37:45', 0.42, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 05:38:22', 12.54, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 05:40:31', 0.75, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 05:42:34', 0.55, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 05:44:11', 9.53, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 05:45:40', 1.31, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 05:46:20', 0.61, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 05:47:12', 4.15, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 05:47:40', 0.75, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 05:48:26', 0.97, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 05:49:50', 0.56, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 0, '2018-05-07 05:51:02', 0, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 05:51:54', 8.67, 0
